Area,Year,num_of_crimes,lon,lat
"77th Street,Los Angeles",2010,14416,-118.2871144,33.9697773
"77th Street,Los Angeles",2017,15475,-118.2871144,33.9697773
"77th Street,Los Angeles",2012,14264,-118.2871144,33.9697773
"77th Street,Los Angeles",2014,14020,-118.2871144,33.9697773
"77th Street,Los Angeles",2011,14228,-118.2871144,33.9697773
"77th Street,Los Angeles",2016,15347,-118.2871144,33.9697773
"77th Street,Los Angeles",2018,13234,-118.2871144,33.9697773
"77th Street,Los Angeles",2013,13705,-118.2871144,33.9697773
"77th Street,Los Angeles",2015,14601,-118.2871144,33.9697773
"Central,Los Angeles",2012,8071,-118.3228165,34.0686748
"Central,Los Angeles",2016,10823,-118.3228165,34.0686748
"Central,Los Angeles",2014,8364,-118.3228165,34.0686748
"Central,Los Angeles",2013,7578,-118.3228165,34.0686748
"Central,Los Angeles",2018,11544,-118.3228165,34.0686748
"Central,Los Angeles",2010,7138,-118.3228165,34.0686748
"Central,Los Angeles",2017,11928,-118.3228165,34.0686748
"Central,Los Angeles",2015,10279,-118.3228165,34.0686748
"Central,Los Angeles",2011,7164,-118.3228165,34.0686748
"Devonshire,Los Angeles",2017,10639,-118.5285392,34.2572761
"Devonshire,Los Angeles",2018,8259,-118.5285392,34.2572761
"Devonshire,Los Angeles",2014,8614,-118.5285392,34.2572761
"Devonshire,Los Angeles",2010,10610,-118.5285392,34.2572761
"Devonshire,Los Angeles",2012,9404,-118.5285392,34.2572761
"Devonshire,Los Angeles",2016,10310,-118.5285392,34.2572761
"Devonshire,Los Angeles",2011,9613,-118.5285392,34.2572761
"Devonshire,Los Angeles",2013,8646,-118.5285392,34.2572761
"Devonshire,Los Angeles",2015,10016,-118.5285392,34.2572761
"Foothill,Los Angeles",2017,8165,-118.3355616,34.2670548
"Foothill,Los Angeles",2012,7906,-118.3355616,34.2670548
"Foothill,Los Angeles",2011,8487,-118.3355616,34.2670548
"Foothill,Los Angeles",2010,9313,-118.3355616,34.2670548
"Foothill,Los Angeles",2013,7454,-118.3355616,34.2670548
"Foothill,Los Angeles",2016,7908,-118.3355616,34.2670548
"Foothill,Los Angeles",2018,7030,-118.3355616,34.2670548
"Foothill,Los Angeles",2014,7103,-118.3355616,34.2670548
"Foothill,Los Angeles",2015,7674,-118.3355616,34.2670548
"Harbor,Los Angeles",2017,9681,-118.2965084,33.7906551
"Harbor,Los Angeles",2010,9568,-118.2965084,33.7906551
"Harbor,Los Angeles",2014,8273,-118.2965084,33.7906551
"Harbor,Los Angeles",2015,9501,-118.2965084,33.7906551
"Harbor,Los Angeles",2011,9823,-118.2965084,33.7906551
"Harbor,Los Angeles",2018,8015,-118.2965084,33.7906551
"Harbor,Los Angeles",2012,9410,-118.2965084,33.7906551
"Harbor,Los Angeles",2016,9505,-118.2965084,33.7906551
"Harbor,Los Angeles",2013,8404,-118.2965084,33.7906551
"Hollenbeck,Los Angeles",2010,7381,-118.2179399,34.0400952
"Hollenbeck,Los Angeles",2015,7988,-118.2179399,34.0400952
"Hollenbeck,Los Angeles",2011,6524,-118.2179399,34.0400952
"Hollenbeck,Los Angeles",2012,7057,-118.2179399,34.0400952
"Hollenbeck,Los Angeles",2017,9018,-118.2179399,34.0400952
"Hollenbeck,Los Angeles",2018,7765,-118.2179399,34.0400952
"Hollenbeck,Los Angeles",2013,6691,-118.2179399,34.0400952
"Hollenbeck,Los Angeles",2016,9141,-118.2179399,34.0400952
"Hollenbeck,Los Angeles",2014,6886,-118.2179399,34.0400952
"Hollywood,Los Angeles",2017,11298,-118.3286614,34.0928092
"Hollywood,Los Angeles",2018,9854,-118.3286614,34.0928092
"Hollywood,Los Angeles",2015,9761,-118.3286614,34.0928092
"Hollywood,Los Angeles",2016,10565,-118.3286614,34.0928092
"Hollywood,Los Angeles",2013,8522,-118.3286614,34.0928092
"Hollywood,Los Angeles",2014,8538,-118.3286614,34.0928092
"Hollywood,Los Angeles",2010,9190,-118.3286614,34.0928092
"Hollywood,Los Angeles",2012,9301,-118.3286614,34.0928092
"Hollywood,Los Angeles",2011,9232,-118.3286614,34.0928092
"Mission,Los Angeles",2018,8876,-118.2450863,34.0450624
"Mission,Los Angeles",2010,10532,-118.2450863,34.0450624
"Mission,Los Angeles",2015,10597,-118.2450863,34.0450624
"Mission,Los Angeles",2016,10995,-118.2450863,34.0450624
"Mission,Los Angeles",2013,10247,-118.2450863,34.0450624
"Mission,Los Angeles",2017,10822,-118.2450863,34.0450624
"Mission,Los Angeles",2014,9894,-118.2450863,34.0450624
"Mission,Los Angeles",2011,10512,-118.2450863,34.0450624
"Mission,Los Angeles",2012,10542,-118.2450863,34.0450624
"N Hollywood,Los Angeles",2016,12009,-118.3812562,34.187044
"N Hollywood,Los Angeles",2018,10378,-118.3812562,34.187044
"N Hollywood,Los Angeles",2017,12379,-118.3812562,34.187044
"N Hollywood,Los Angeles",2014,10362,-118.3812562,34.187044
"N Hollywood,Los Angeles",2013,10915,-118.3812562,34.187044
"N Hollywood,Los Angeles",2015,11774,-118.3812562,34.187044
"N Hollywood,Los Angeles",2012,11248,-118.3812562,34.187044
"N Hollywood,Los Angeles",2011,10678,-118.3812562,34.187044
"N Hollywood,Los Angeles",2010,11337,-118.3812562,34.187044
"Newton,Los Angeles",2017,11712,-118.2561539,34.0122884
"Newton,Los Angeles",2016,11000,-118.2561539,34.0122884
"Newton,Los Angeles",2015,9619,-118.2561539,34.0122884
"Newton,Los Angeles",2014,9194,-118.2561539,34.0122884
"Newton,Los Angeles",2011,9329,-118.2561539,34.0122884
"Newton,Los Angeles",2018,9537,-118.2561539,34.0122884
"Newton,Los Angeles",2010,9973,-118.2561539,34.0122884
"Newton,Los Angeles",2012,8874,-118.2561539,34.0122884
"Newton,Los Angeles",2013,8607,-118.2561539,34.0122884
"Northeast,Los Angeles",2017,10502,-118.2175744,34.105186
"Northeast,Los Angeles",2018,9037,-118.2175744,34.105186
"Northeast,Los Angeles",2015,10244,-118.2175744,34.105186
"Northeast,Los Angeles",2012,9832,-118.2175744,34.105186
"Northeast,Los Angeles",2014,9661,-118.2175744,34.105186
"Northeast,Los Angeles",2016,10363,-118.2175744,34.105186
"Northeast,Los Angeles",2013,9254,-118.2175744,34.105186
"Northeast,Los Angeles",2010,10609,-118.2175744,34.105186
"Northeast,Los Angeles",2011,9816,-118.2175744,34.105186
"Olympic,Los Angeles",2015,9810,-118.2634175,34.0450809
"Olympic,Los Angeles",2016,10533,-118.2634175,34.0450809
"Olympic,Los Angeles",2018,9671,-118.2634175,34.0450809
"Olympic,Los Angeles",2010,8731,-118.2634175,34.0450809
"Olympic,Los Angeles",2017,11188,-118.2634175,34.0450809
"Olympic,Los Angeles",2014,9134,-118.2634175,34.0450809
"Olympic,Los Angeles",2013,8270,-118.2634175,34.0450809
"Olympic,Los Angeles",2012,8504,-118.2634175,34.0450809
"Olympic,Los Angeles",2011,7970,-118.2634175,34.0450809
"Pacific,Los Angeles",2018,10747,-118.2949019,34.0621874
"Pacific,Los Angeles",2017,12155,-118.2949019,34.0621874
"Pacific,Los Angeles",2016,11751,-118.2949019,34.0621874
"Pacific,Los Angeles",2013,10091,-118.2949019,34.0621874
"Pacific,Los Angeles",2015,11692,-118.2949019,34.0621874
"Pacific,Los Angeles",2014,10733,-118.2949019,34.0621874
"Pacific,Los Angeles",2011,10365,-118.2949019,34.0621874
"Pacific,Los Angeles",2010,11081,-118.2949019,34.0621874
"Pacific,Los Angeles",2012,10300,-118.2949019,34.0621874
"Rampart,Los Angeles",2016,9168,-118.266973,34.0567094
"Rampart,Los Angeles",2017,9634,-118.266973,34.0567094
"Rampart,Los Angeles",2014,8524,-118.266973,34.0567094
"Rampart,Los Angeles",2011,8412,-118.266973,34.0567094
"Rampart,Los Angeles",2015,9254,-118.266973,34.0567094
"Rampart,Los Angeles",2012,8584,-118.266973,34.0567094
"Rampart,Los Angeles",2013,8120,-118.266973,34.0567094
"Rampart,Los Angeles",2018,8491,-118.266973,34.0567094
"Rampart,Los Angeles",2010,8684,-118.266973,34.0567094
"Southeast,Los Angeles",2017,11828,-118.2436849,34.0522342
"Southeast,Los Angeles",2016,11450,-118.2436849,34.0522342
"Southeast,Los Angeles",2018,10420,-118.2436849,34.0522342
"Southeast,Los Angeles",2014,10518,-118.2436849,34.0522342
"Southeast,Los Angeles",2015,11071,-118.2436849,34.0522342
"Southeast,Los Angeles",2012,10562,-118.2436849,34.0522342
"Southeast,Los Angeles",2013,10164,-118.2436849,34.0522342
"Southeast,Los Angeles",2010,11053,-118.2436849,34.0522342
"Southeast,Los Angeles",2011,11036,-118.2436849,34.0522342
"Southwest,Los Angeles",2014,12944,-118.305646,33.9298105
"Southwest,Los Angeles",2012,13086,-118.305646,33.9298105
"Southwest,Los Angeles",2015,13831,-118.305646,33.9298105
"Southwest,Los Angeles",2010,13627,-118.305646,33.9298105
"Southwest,Los Angeles",2011,12903,-118.305646,33.9298105
